symbol,first_month,last_month,kline_months,funding_months,status
BRETTUSDT,2024-08,2026-08,25,25,active
BREVUSDT,2025-12,2026-08,9,9,active
BRKBUSDT,2026-05,2026-08,4,4,active
BROCCOLI714USDT,2025-03,2026-08,18,18,active
BROCCOLIF3BUSDT,2025-03,2026-08,18,18,active
BRUSDT,2025-03,2026-08,18,18,active
BSBUSDT,2026-03,2026-08,6,6,active
BSPUSDT,2026-07,2026-08,2,2,active
BSVUSDT,2023-10,2026-08,35,35,active
BSWUSDT,2024-09,2026-08,24,13,active
BTCDOMUSDT,2021-06,2026-08,63,63,active
BTCSTUSDT,2021-03,2026-06,64,63,closed
BTCUSDT,2020-01,2026-08,80,80,active
BTRUSDT,2025-08,2026-08,13,13,active
BTSUSDT,2021-02,2024-05,40,43,closed
BTTUSDT,2021-04,2022-01,10,10,closed
BTWUSDT,2026-06,2026-08,3,3,active
BULLAUSDT,2025-07,2026-08,14,14,active
BUSDT,2025-05,2026-08,16,16,active
BXUSDT,2026-06,2026-08,3,3,active
BZRXUSDT,2020-09,2021-12,16,16,closed
BZUSDT,2026-04,2026-08,5,6,active
C98USDT,2021-08,2026-08,61,61,active
CAKEUSDT,2023-11,2026-08,34,34,active
CAPUSDT,2026-06,2026-08,3,3,active
CARVUSDT,2025-08,2026-08,13,13,active
CATIUSDT,2024-09,2026-08,24,24,active
CATUSDT,2026-07,2026-08,2,2,active
CBRSUSDT,2026-05,2026-08,4,4,active
CCUSDT,2025-10,2026-08,11,11,active
CELOUSDT,2021-09,2026-08,60,60,active
CELRUSDT,2021-03,2026-08,66,66,active
CETUSUSDT,2024-11,2026-08,22,22,active
CFGUSDT,2026-03,2026-08,6,6,active
CFXUSDT,2023-02,2026-08,43,43,active
CGPTUSDT,2024-12,2026-08,21,21,active
CHESSUSDT,2024-08,2026-08,25,19,active
CHILLGUYUSDT,2024-11,2026-08,22,22,active
CHIPUSDT,2026-04,2026-08,5,5,active
CHRUSDT,2021-03,2026-08,66,66,active
CHZUSDT,2021-01,2026-08,68,68,active
CIENUSDT,2026-06,2026-08,3,3,active
CKBUSDT,2023-02,2026-08,43,43,active
CLANKERUSDT,2025-11,2026-08,10,10,active
CLOUSDT,2025-10,2026-08,11,11,active
CLUSDT,2026-04,2026-08,5,6,active
COAIUSDT,2025-09,2026-08,12,12,active
COCOSUSDT,2023-02,2024-05,16,18,closed
COHRUSDT,2026-05,2026-08,4,4,active
COINUSDT,2026-02,2026-08,7,7,active
COLLECTUSDT,2025-12,2026-08,9,9,active
COMBOUSDT,2023-06,2026-08,39,25,active
COMMONUSDT,2025-10,2026-08,11,4,active
COMPUSDT,2020-06,2026-08,75,75,active
COOKIEUSDT,2025-01,2026-08,20,20,active
COPPERUSDT,2026-03,2026-08,6,6,active
COSTUSDT,2026-06,2026-08,3,3,active
COSUSDT,2024-09,2026-08,24,22,active
COTIUSDT,2021-03,2026-08,66,66,active
COWUSDT,2024-11,2026-08,22,22,active
CRCLUSDT,2026-02,2026-08,7,7,active
CRDOUSDT,2026-06,2026-08,3,3,active
CRMUSDT,2026-06,2026-08,3,3,active
CROSSUSDT,2025-07,2026-08,14,14,active
CRVUSDT,2020-09,2026-08,72,72,active
CRWDUSDT,2026-06,2026-08,3,3,active
CRWVUSDT,2026-05,2026-08,4,4,active
CSCOUSDT,2026-05,2026-08,4,4,active
CSOPSAMSUNG2LUSDT,2026-08,2026-08,1,1,active
CSOPSKHYNIX2LUSDT,2026-08,2026-08,1,1,active
CTKUSDT,2020-11,2026-08,70,70,active
CTRUSDT,2026-05,2026-08,4,4,active
CTSIUSDT,2021-10,2026-08,59,59,active
CUDISUSDT,2025-08,2026-08,13,6,active
CUSDT,2025-07,2026-08,14,14,active
CVCUSDT,2020-11,2026-08,70,70,active
CVXUSDT,2022-09,2026-08,48,48,active
CXMTUSDT,2026-08,2026-08,1,1,active
CYBERUSDT,2023-08,2026-08,37,37,active
CYSUSDT,2025-12,2026-08,9,9,active
DAMUSDT,2025-08,2026-08,13,9,active
DARUSDT,2022-04,2026-08,53,39,active
DASHUSDT,2020-02,2026-08,79,79,active
DATAIPUSDT,2026-07,2026-08,2,2,active
DEEPUSDT,2025-04,2026-08,17,17,active
DEFIUSDT,2020-08,2026-08,73,61,active
DEGENUSDT,2024-11,2026-08,22,18,active
DEGOUSDT,2024-12,2026-08,21,17,active
DELLUSDT,2026-06,2026-08,3,3,active
DENTUSDT,2021-03,2026-08,66,62,active
DEXEUSDT,2024-12,2026-08,21,21,active
DFUSDT,2024-12,2026-08,21,15,active
DGBUSDT,2021-04,2026-08,65,51,active
DIAUSDT,2024-10,2026-08,23,23,active
DISUSDT,2026-05,2026-08,4,4,active
DJTUSDT,2026-08,2026-08,1,1,active
DKNGUSDT,2026-06,2026-08,3,3,active
DMCUSDT,2025-06,2026-08,15,8,active
DODOUSDT,2021-02,2022-05,16,16,closed
DODOXUSDT,2023-08,2026-08,37,37,active
DOGEUSDT,2020-07,2026-08,74,74,active
DOGSUSDT,2024-08,2026-08,25,25,active
DOLOUSDT,2025-05,2026-08,16,16,active
DOODUSDT,2025-05,2026-08,16,16,active
DOSUSDT,2026-08,2026-08,1,1,active
DOTECOUSDT,2021-01,2021-02,2,3,closed
DOTUSDT,2020-08,2026-08,73,73,active
DRAMUSDT,2026-05,2026-08,4,4,active
DRIFTUSDT,2024-11,2026-08,22,22,active
DUSDT,2025-01,2026-08,20,18,active
DUSKUSDT,2022-01,2026-08,56,56,active
DYDXUSDT,2021-09,2026-08,60,60,active
DYMUSDT,2024-02,2026-08,31,31,active
EBAYUSDT,2026-06,2026-08,3,3,active
EDENUSDT,2025-09,2026-08,12,12,active
EDGEUSDT,2026-03,2026-08,6,6,active
EDUUSDT,2023-04,2026-08,41,41,active
EGLDUSDT,2020-09,2026-08,72,72,active
EIGENUSDT,2024-10,2026-08,23,23,active
ELSAUSDT,2026-01,2026-08,8,8,active
ENAUSDT,2024-04,2026-08,29,29,active
ENJUSDT,2020-09,2026-08,72,72,active
ENSOUSDT,2025-10,2026-08,11,11,active
ENSUSDT,2021-11,2026-08,58,58,active
EOSUSDT,2020-01,2025-05,65,80,closed
EPICUSDT,2025-03,2026-08,18,18,active
EPTUSDT,2025-04,2026-08,17,10,active
ERAUSDT,2025-07,2026-08,14,14,active
ESPORTSUSDT,2025-07,2026-08,14,14,active
ESPUSDT,2026-02,2026-08,7,7,active
ETCUSDT,2020-01,2026-08,80,80,active
ETHFIUSDT,2024-03,2026-08,30,30,active
ETHUSDT,2020-01,2026-08,80,80,active
ETHWUSDT,2023-11,2026-08,34,34,active
EULUSDT,2025-10,2026-08,11,11,active
EVAAUSDT,2025-10,2026-08,11,11,active
EWJUSDT,2026-03,2026-08,6,6,active
EWTUSDT,2026-06,2026-08,3,3,active
EWYUSDT,2026-03,2026-08,6,6,active
EWZUSDT,2026-06,2026-08,3,3,active
FARTCOINUSDT,2024-12,2026-08,21,21,active
FETUSDT,2023-01,2026-08,44,44,active
FFUSDT,2025-09,2026-08,12,12,active
FHEUSDT,2025-04,2026-08,17,17,active
FIDAUSDT,2024-09,2026-08,24,24,active
FIGHTUSDT,2026-01,2026-08,8,8,active
FILUSDT,2020-10,2026-08,71,71,active
FIOUSDT,2024-09,2026-08,24,20,active
FISUSDT,2025-04,2026-08,17,9,active
FLEXUSDT,2026-07,2026-08,2,2,active
FLMUSDT,2020-09,2026-08,72,63,active
FLNCUSDT,2026-05,2026-08,4,4,active
FLOCKUSDT,2025-09,2026-08,12,12,active
FLOWUSDT,2022-02,2026-08,55,55,active
FLUIDUSDT,2025-09,2026-08,12,12,active
FLUXUSDT,2024-09,2026-08,24,24,active
FOGOUSDT,2026-01,2026-08,8,8,active
FOLKSUSDT,2025-11,2026-08,10,10,active
FOOTBALLUSDT,2022-09,2024-05,21,24,closed
FORMUSDT,2025-03,2026-08,18,18,active
FORTHUSDT,2025-04,2026-08,17,12,active
FRAXUSDT,2026-01,2026-08,8,8,active
FRONTUSDT,2023-09,2024-09,13,36,closed
FTMUSDT,2020-09,2026-08,72,58,active
FTTUSDT,2022-04,2026-08,53,39,active
FUNUSDT,2025-03,2026-08,18,14,active
FUSDT,2025-06,2026-08,15,15,active
FWDIUSDT,2026-07,2026-08,2,2,active
FXSUSDT,2023-01,2026-08,44,37,active
GALAUSDT,2021-09,2026-08,60,60,active
GALUSDT,2022-05,2024-07,27,28,closed
GASUSDT,2023-10,2026-08,35,35,active
GDXUSDT,2026-08,2026-08,1,1,active
GENIUSUSDT,2026-04,2026-08,5,5,active
GEVUSDT,2026-07,2026-08,2,2,active
GHSTUSDT,2024-09,2026-08,24,18,active
GIGADEVUSDT,2026-08,2026-08,1,1,active
GIGGLEUSDT,2025-10,2026-08,11,11,active
GLMRUSDT,2023-09,2026-08,36,22,active
GLMUSDT,2024-02,2026-08,31,31,active
GLWUSDT,2026-06,2026-08,3,3,active
GMEUSDT,2026-06,2026-08,3,3,active
GMTUSDT,2022-03,2026-08,54,54,active
GMXUSDT,2023-02,2026-08,43,43,active
GOATUSDT,2024-10,2026-08,23,23,active
GOOGLUSDT,2026-03,2026-08,6,6,active
GPSUSDT,2025-02,2026-08,19,19,active
GRAMUSDT,2026-07,2026-08,2,2,active
GRASSUSDT,2024-11,2026-08,22,22,active
GRIFFAINUSDT,2025-01,2026-08,20,20,active
GRTUSDT,2020-12,2026-08,69,69,active
GRVTUSDT,2026-07,2026-08,2,2,active
GSUSDT,2026-07,2026-08,2,2,active
GTCUSDT,2021-06,2026-08,63,63,active
GUAUSDT,2025-12,2026-08,9,9,active
GUNUSDT,2025-03,2026-08,18,18,active
GUSDT,2024-08,2026-08,25,25,active
GWEIUSDT,2026-01,2026-08,8,8,active
HAEDALUSDT,2025-05,2026-08,16,16,active
HANAUSDT,2025-09,2026-08,12,12,active
HANMIUSDT,2026-08,2026-08,1,1,active
HBARUSDT,2021-03,2026-08,66,66,active
HDUSDT,2026-05,2026-08,4,4,active
HEIUSDT,2025-02,2026-08,19,19,active
HEMIUSDT,2025-08,2026-08,13,13,active
HFTUSDT,2023-04,2026-08,41,41,active
HIFIUSDT,2023-09,2026-08,36,26,active
HIGHUSDT,2023-02,2026-08,43,41,active
HIMSUSDT,2026-06,2026-08,3,3,active
HIPPOUSDT,2024-11,2026-08,22,18,active
HIVEUSDT,2024-12,2026-08,21,21,active
HK0700USDT,2026-07,2026-08,2,2,active
HK1810USDT,2026-07,2026-08,2,2,active
HMSTRUSDT,2024-09,2026-08,24,24,active
HNTUSDT,2020-09,2024-05,45,48,closed
HOLOUSDT,2025-09,2026-08,12,12,active
HOMEUSDT,2025-06,2026-08,15,15,active
HOODUSDT,2026-02,2026-08,7,7,active
HOOKUSDT,2023-01,2026-08,44,39,active
HOTUSDT,2021-03,2026-08,66,66,active
HPEUSDT,2026-06,2026-08,3,3,active
HUMAUSDT,2025-05,2026-08,16,16,active
HUSDT,2025-06,2026-08,15,15,active
HYPERUSDT,2025-04,2026-08,17,17,active
HYPEUSDT,2025-05,2026-08,16,16,active
HYUNDAIUSDT,2026-06,2026-08,3,3,active
IBMUSDT,2026-06,2026-08,3,3,active
ICNTUSDT,2025-07,2026-08,14,14,active
ICPUSDT,2021-05,2026-08,64,48,active
ICXUSDT,2020-09,2026-08,72,72,active
IDEXUSDT,2023-05,2026-08,40,26,active
IDOLUSDT,2025-07,2026-08,14,14,active
IDUSDT,2023-03,2026-08,42,42,active
ILVUSDT,2023-11,2026-08,34,34,active
IMXUSDT,2022-02,2026-08,55,55,active
INITUSDT,2025-04,2026-08,17,17,active
INJUSDT,2022-08,2026-08,49,49,active
INTCUSDT,2026-02,2026-08,7,7,active
INTWUSDT,2026-07,2026-08,2,2,active
INUSDT,2025-08,2026-08,13,13,active
INXUSDT,2026-01,2026-08,8,8,active
IONQUSDT,2026-08,2026-08,1,1,active
IOSTUSDT,2020-02,2026-08,79,79,active
IOTAUSDT,2020-02,2026-08,79,79,active
IOTXUSDT,2021-08,2026-08,61,61,active
IOUSDT,2024-06,2026-08,27,27,active
IPUSDT,2025-02,2026-08,19,17,active
IRENUSDT,2026-06,2026-08,3,3,active
IRUSDT,2025-12,2026-08,9,5,active
IRYSUSDT,2025-11,2026-08,10,10,active
IWMUSDT,2026-06,2026-08,3,3,active
JASMYUSDT,2022-04,2026-08,53,53,active
JCTUSDT,2025-11,2026-08,10,10,active
JELLYJELLYUSDT,2025-03,2026-08,18,18,active
JOEUSDT,2023-03,2026-08,42,42,active
JPMUSDT,2026-05,2026-08,4,4,active
JSTUSDT,2025-04,2026-08,17,17,active
JTOUSDT,2023-12,2026-08,33,33,active
JUPUSDT,2024-01,2026-08,32,31,active
KAIAUSDT,2024-12,2026-08,21,21,active
KAITOUSDT,2025-02,2026-08,19,19,active
KASUSDT,2023-11,2026-08,34,34,active
KATUSDT,2026-03,2026-08,6,6,active
KAVAUSDT,2020-07,2026-08,74,74,active
KDAUSDT,2024-09,2026-08,24,15,active
KEEPUSDT,2021-06,2022-02,9,9,closed
KERNELUSDT,2025-04,2026-08,17,17,active
KEYUSDT,2023-05,2026-08,40,26,active
KGENUSDT,2025-10,2026-08,11,11,active
KITEUSDT,2025-10,2026-08,11,11,active
KLACUSDT,2026-06,2026-08,3,3,active
KLAYUSDT,2021-10,2026-08,59,45,active
KMNOUSDT,2024-12,2026-08,21,21,active
KNCUSDT,2020-06,2026-08,75,75,active
KODEX200USDT,2026-08,2026-08,1,1,active
KOMAUSDT,2024-12,2026-08,21,21,active
KORUUSDT,2026-06,2026-08,3,3,active
KOUSDT,2026-08,2026-08,1,1,active
KSMUSDT,2020-10,2026-08,71,71,active
KSTRUSDT,2026-07,2026-08,2,2,active
KUAISHOUUSDT,2026-08,2026-08,1,1,active
LABUSDT,2025-10,2026-08,11,11,active
LAUSDT,2025-06,2026-08,15,15,active
LAYERUSDT,2025-02,2026-08,19,19,active
LDOUSDT,2022-09,2026-08,48,48,active
LENDUSDT,2020-07,2020-11,5,4,closed
LEVERUSDT,2023-03,2026-08,42,31,active
LGELECTRONICSUSDT,2026-08,2026-08,1,1,active
LIGHTUSDT,2025-09,2026-08,12,12,active
LINAUSDT,2021-03,2026-08,66,52,active
LINEAUSDT,2025-09,2026-08,12,12,active
LINKUSDT,2020-01,2026-08,80,80,active
LISTAUSDT,2024-06,2026-08,27,27,active
LITEUSDT,2026-05,2026-08,4,4,active
LITUSDT,2021-02,2026-08,67,62,active
LLYUSDT,2026-06,2026-08,3,3,active
LOKAUSDT,2024-09,2026-08,24,11,active
LOOMUSDT,2023-10,2026-08,35,21,active
LPTUSDT,2021-11,2026-08,58,58,active
LQTYUSDT,2023-03,2026-08,42,42,active
LRCUSDT,2020-10,2026-08,71,66,active
LRCXUSDT,2026-06,2026-08,3,3,active
LSKUSDT,2024-01,2026-08,32,32,active
LTCUSDT,2020-01,2026-08,80,80,active
LUMIAUSDT,2024-12,2026-08,21,21,active
LUNA2USDT,2022-09,2026-08,48,48,active
LUNAUSDT,2021-01,2022-05,17,17,closed
LYNUSDT,2025-10,2026-08,11,11,active
LYTEUSDT,2026-08,2026-08,1,1,active
MAGICUSDT,2023-01,2026-08,44,44,active
MAGMAUSDT,2025-12,2026-08,9,9,active
MANAUSDT,2021-03,2026-08,66,66,active
MANTAUSDT,2024-01,2026-08,32,32,active
MANTRAUSDT,2026-03,2026-08,6,6,active
MARAUSDT,2026-08,2026-08,1,1,active
MASKUSDT,2021-08,2026-08,61,61,active
MATICUSDT,2020-10,2024-09,48,71,closed
MAVIAUSDT,2024-02,2026-08,31,31,active
MAVUSDT,2023-06,2026-08,39,39,active
MBLUSDT,2023-11,2024-05,7,9,closed
MBOXUSDT,2024-08,2026-08,25,23,active
MDTUSDT,2023-06,2026-08,39,25,active
MEGAUSDT,2026-01,2026-08,8,8,active
MEITUANUSDT,2026-08,2026-08,1,1,active
MELANIAUSDT,2025-01,2026-08,20,20,active
MEMEFIUSDT,2025-04,2026-08,17,5,active
MEMEUSDT,2023-11,2026-08,34,34,active
MERLUSDT,2025-05,2026-08,16,16,active
METAUSDT,2026-03,2026-08,6,6,active
METISUSDT,2024-03,2026-08,30,30,active
METUSDT,2025-10,2026-08,11,11,active
MEUSDT,2024-12,2026-08,21,21,active
MEWUSDT,2024-06,2026-08,27,27,active
MILKUSDT,2025-05,2026-08,16,8,active
MINAUSDT,2023-02,2026-08,43,43,active
MINIMAXUSDT,2026-07,2026-08,2,2,active
MIRAUSDT,2025-09,2026-08,12,12,active
MITOUSDT,2025-08,2026-08,13,13,active
MKRUSDT,2020-08,2026-08,73,62,active
MLNUSDT,2025-03,2026-08,18,15,active
MMTUSDT,2025-11,2026-08,10,10,active
MOCAUSDT,2024-12,2026-08,21,21,active
MONUSDT,2025-10,2026-08,11,11,active
MOODENGUSDT,2024-10,2026-08,23,23,active
MORPHOUSDT,2024-11,2026-08,22,22,active
MOVEUSDT,2024-12,2026-08,21,21,active
MOVRUSDT,2023-12,2026-08,33,33,active
MRKUSDT,2026-08,2026-08,1,1,active
MRNAUSDT,2026-08,2026-08,1,1,active
MRVLUSDT,2026-05,2026-08,4,4,active
MSFTUSDT,2026-04,2026-08,5,5,active
MSTRUSDT,2026-02,2026-08,7,7,active
MTLUSDT,2021-03,2026-08,66,66,active
MUBARAKUSDT,2025-03,2026-08,18,18,active
MUSDT,2025-07,2026-08,14,14,active
MUUSDT,2026-04,2026-08,5,5,active
MUUUSDT,2026-07,2026-08,2,2,active
MVLLUSDT,2026-06,2026-08,3,3,active
MYROUSDT,2024-03,2026-08,30,21,active
MYXUSDT,2025-06,2026-08,15,15,active
NAORISUSDT,2025-07,2026-08,14,14,active
NATGASUSDT,2026-04,2026-08,5,6,active
NAVERUSDT,2026-08,2026-08,1,1,active
NBISUSDT,2026-05,2026-08,4,4,active
NEARUSDT,2020-10,2026-08,71,71,active
NEIROETHUSDT,2024-09,2026-08,24,13,active
NEIROUSDT,2024-09,2026-08,24,24,active
NEOUSDT,2020-02,2026-08,79,79,active
NETUSDT,2026-08,2026-08,1,1,active
NEWTUSDT,2025-06,2026-08,15,15,active
NFLXUSDT,2026-06,2026-08,3,3,active
NFPUSDT,2023-12,2026-08,33,32,active
NIGHTUSDT,2025-12,2026-08,9,9,active
NILUSDT,2025-03,2026-08,18,18,active
NKNUSDT,2021-04,2026-08,65,59,active
NMRUSDT,2023-06,2026-08,39,39,active
NOKUSDT,2026-06,2026-08,3,3,active
NOMUSDT,2025-10,2026-08,11,11,active
NOTUSDT,2024-05,2026-08,28,28,active
NOWUSDT,2026-06,2026-08,3,3,active
NTRNUSDT,2023-11,2026-08,34,29,active
NULSUSDT,2024-08,2026-08,25,11,active
NUUSDT,2021-10,2022-02,5,5,closed
NVDAUSDT,2026-03,2026-08,6,6,active
NVOUSDT,2026-06,2026-08,3,3,active
NXPCUSDT,2025-05,2026-08,16,16,active
OBOLUSDT,2025-05,2026-08,16,8,active
OCEANUSDT,2020-11,2026-08,70,56,active
OGNUSDT,2021-04,2026-08,65,65,active
OGUSDT,2025-05,2026-08,16,16,active
OLUSDT,2025-06,2026-08,15,11,active
OMGUSDT,2020-07,2026-08,74,60,active
OMNIUSDT,2024-04,2026-08,29,18,active
OMUSDT,2024-02,2026-08,31,25,active
ONDOUSDT,2024-01,2026-08,32,32,active
ONDSUSDT,2026-06,2026-08,3,3,active
ONEUSDT,2021-03,2026-08,66,66,active
ONGUSDT,2023-11,2026-08,34,34,active
ONTUSDT,2020-02,2026-08,79,79,active
ONUSDT,2025-10,2026-08,11,11,active
OPENAIUSDT,2026-05,2026-08,4,4,active
OPENUSDT,2025-09,2026-08,12,12,active
OPGUSDT,2026-04,2026-08,5,5,active
OPNUSDT,2026-02,2026-08,7,7,active
OPUSDT,2022-06,2026-08,51,51,active
ORBSUSDT,2023-10,2026-08,35,21,active
ORCAUSDT,2024-12,2026-08,21,21,active
ORCLUSDT,2026-05,2026-08,4,4,active
ORDERUSDT,2025-09,2026-08,12,12,active
ORDIUSDT,2023-11,2026-08,34,34,active
OUSDT,2026-06,2026-08,3,3,active
OXTUSDT,2023-08,2026-08,37,33,active
PANWUSDT,2026-07,2026-08,2,2,active
PARTIUSDT,2025-03,2026-08,18,18,active
PAXGUSDT,2025-03,2026-08,18,18,active
PAYPUSDT,2026-03,2026-08,6,6,active
